appid,game_name,recommendationid,review_datetime,release_date,days_from_release,release_period,review_recency_group,steam_label_text,llm_sentiment,steam_llm_sentiment_relation,playtime_at_review_hours,playtime_stage,early_playtime_flag,votes_up,weighted_vote_score,llm_urgency_candidate,high_urgency_flag,llm_issue_category,issue_name_kor,llm_issue_sentiment,issue_positive_flag,issue_negative_or_mixed_flag,action_group_hint,priority_candidate,rule_priority_hint,priority_selection_note,priority_rule_detail,priority_reason,affected_review_count,negative_mixed_review_count,steam_negative_review_count,high_urgency_review_count,high_urgency_rate,negative_mixed_rate,steam_negative_rate,recent_30d_negative_mixed_review_count,early_playtime_negative_mixed_review_count,patch_ops_note,llm_issue_evidence,source_run
1309950,Children of the Sun,162551168,2024-04-09 16:16:12,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,0.4333333333333333,0-1h,True,7,0.5586898922920227,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","Art Style, Music, Atmosphere, 21:9 support are great.",children_of_the_sun
1309950,Children of the Sun,162551849,2024-04-09 16:27:50,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,0.5333333333333333,0-1h,True,3,0.4766794741153717,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",Great game.,children_of_the_sun
1309950,Children of the Sun,162552645,2024-04-09 16:41:02,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,1.2,1-5h,True,28,0.7350374460220337,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","Short but sweet puzzle shooter, fun gameplay loop.",children_of_the_sun
1309950,Children of the Sun,162552871,2024-04-09 16:44:51,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,0.4166666666666667,0-1h,True,77,0.7562122344970703,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","Amazing art style, simple but satisfying gameplay. Fairly priced.",children_of_the_sun
1309950,Children of the Sun,162556466,2024-04-09 17:41:22,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,1.7666666666666666,1-5h,True,4,0.5832236409187317,medium,False,control,조작감,negative,False,True,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 30개, 부정·혼합 21개, Steam 비추천 맥락 7개, 초반 플레이타임 부정·혼합 14개, High urgency 후보 5개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인",30,21,7,5,0.1667,0.7,0.2333,0,14,"이동, 전투, 상호작용 조작의 반응성과 키 설정 편의성을 점검한다.","controls to some extent. missed the ""SINGLE RIGHT CLICK"" prompted in RED",children_of_the_sun
1309950,Children of the Sun,162557723,2024-04-09 18:05:33,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,0.5,0-1h,True,7,0.543179988861084,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",If Ape Out and Sniper Elite had a baby that was a distant cousin with the Gorrilaz.,children_of_the_sun
1309950,Children of the Sun,162562122,2024-04-09 19:28:30,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,0.6,0-1h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","Good short game, story told with pictures and audio is fun",children_of_the_sun
1309950,Children of the Sun,162562642,2024-04-09 19:38:57,2024-04-09,0,D0-D30,older_90d,positive,mixed,partial_match,0.2,0-1h,True,0,0.5,high,True,bug,버그,negative,False,True,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 10개, 부정·혼합 10개, Steam 비추천 맥락 4개, 초반 플레이타임 부정·혼합 8개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",10,10,4,6,0.6,1.0,0.4,0,8,"반복 언급된 버그를 재현 가능성 기준으로 분류하고, 플레이 방해 수준이 큰 항목부터 수정한다.",freezing for me on steam deck when loading levels,children_of_the_sun
1309950,Children of the Sun,162564482,2024-04-09 20:15:24,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.283333333333333,1-5h,True,13,0.6587597131729126,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","wholly unique puzzle shooter that looks, sounds, feels and plays awesome",children_of_the_sun
1309950,Children of the Sun,162564863,2024-04-09 20:22:46,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,4.05,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",퍼즐과 슈팅 요소가 결합된 도파민을 자극하는 게임 플레이가 매우 훌륭함,children_of_the_sun
