condition_type,condition_value,issue_name_kor,issue_game_count,positive_game_count,negative_game_count,tag_positive_game_count,tag_negative_game_count,tag_mixed_game_count,high_urgency_game_count,both_positive_negative_game_count,total_issue_review_count,condition_game_count,issue_game_ratio,priority_level,priority_rule_detail,priority_reason,issue_direction
genre,Action,게임플레이 루프,58,50,37,37,44,7,29,29,460,68,85.3,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 29개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,그래픽/사운드,41,40,18,33,27,5,17,17,171,68,60.3,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 17개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",강화 요소
genre,Action,UI/UX,39,34,23,11,34,1,18,18,167,68,57.4,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 18개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,콘텐츠 분량,38,36,18,14,25,3,13,16,239,68,55.9,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 13개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,난이도,37,35,16,17,28,2,13,14,193,68,54.4,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 13개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,밸런스,26,18,18,3,25,2,12,10,138,68,38.2,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 12개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,버그,35,30,14,8,32,1,19,9,112,68,51.5,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 19개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,조작감,34,30,16,10,30,1,18,12,128,68,50.0,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 18개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,기타,29,22,18,5,22,1,9,11,85,68,42.6,중,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리. 적용 규칙: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리. High urgency 후보는 9개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",리스크 요소
genre,Action,가격/가치,28,23,15,17,16,2,12,10,90,68,41.2,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 12개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.",강화 요소
