condition_type,condition_value,issue_name_kor,issue_direction,condition_game_count,issue_game_count,issue_game_ratio,positive_game_count,negative_game_count,tag_positive_game_count,tag_negative_game_count,tag_mixed_game_count,high_urgency_game_count,both_positive_negative_game_count,total_issue_review_count,priority_level,priority_rule_detail,priority_reason,llm_evidence_text
genre,Action,게임플레이 루프,리스크 요소,68,58,85.3,50,37,37,44,7,29,29,460,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 29개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '게임플레이 루프' 항목은 전체 68개 게임 중 58개 게임에서 반복되었다(85.3%). Steam 비추천 맥락은 37개 게임, Steam 추천 맥락은 50개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 29개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,그래픽/사운드,강화 요소,68,41,60.3,40,18,33,27,5,17,17,171,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 17개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '그래픽/사운드' 항목은 전체 68개 게임 중 41개 게임에서 반복되었다(60.3%). Steam 비추천 맥락은 18개 게임, Steam 추천 맥락은 40개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 17개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,UI/UX,리스크 요소,68,39,57.4,34,23,11,34,1,18,18,167,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 18개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 'UI/UX' 항목은 전체 68개 게임 중 39개 게임에서 반복되었다(57.4%). Steam 비추천 맥락은 23개 게임, Steam 추천 맥락은 34개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 18개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,콘텐츠 분량,리스크 요소,68,38,55.9,36,18,14,25,3,13,16,239,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 13개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '콘텐츠 분량' 항목은 전체 68개 게임 중 38개 게임에서 반복되었다(55.9%). Steam 비추천 맥락은 18개 게임, Steam 추천 맥락은 36개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 13개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,난이도,리스크 요소,68,37,54.4,35,16,17,28,2,13,14,193,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 13개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '난이도' 항목은 전체 68개 게임 중 37개 게임에서 반복되었다(54.4%). Steam 비추천 맥락은 16개 게임, Steam 추천 맥락은 35개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 13개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,밸런스,리스크 요소,68,26,38.2,18,18,3,25,2,12,10,138,상,상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈,"여러 게임 반복성, 조건 내 발생 비율, Steam 비추천 맥락을 기준으로 볼 때 해당 조건에서 우선적으로 확인할 필요가 있는 상위 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준 '상' 후보 중 조건 내 상대 우선순위 상위 6개로 유지. 적용 규칙: 상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈. High urgency 후보는 12개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '밸런스' 항목은 전체 68개 게임 중 26개 게임에서 반복되었다(38.2%). Steam 비추천 맥락은 18개 게임, Steam 추천 맥락은 18개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '상'이며, 적용된 기준은 '상: 절대 기준 상 후보 중 조건 내 상대 우선순위 상위 이슈'이다. LLM이 High urgency로 분류한 사례는 12개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,버그,리스크 요소,68,35,51.5,30,14,8,32,1,19,9,112,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 19개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '버그' 항목은 전체 68개 게임 중 35개 게임에서 반복되었다(51.5%). Steam 비추천 맥락은 14개 게임, Steam 추천 맥락은 30개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '중'이며, 적용된 기준은 '중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정'이다. LLM이 High urgency로 분류한 사례는 19개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,조작감,리스크 요소,68,34,50.0,30,16,10,30,1,18,12,128,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 18개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '조작감' 항목은 전체 68개 게임 중 34개 게임에서 반복되었다(50.0%). Steam 비추천 맥락은 16개 게임, Steam 추천 맥락은 30개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '중'이며, 적용된 기준은 '중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정'이다. LLM이 High urgency로 분류한 사례는 18개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,기타,리스크 요소,68,29,42.6,22,18,5,22,1,9,11,85,중,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리. 적용 규칙: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리. High urgency 후보는 9개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '기타' 항목은 전체 68개 게임 중 29개 게임에서 반복되었다(42.6%). Steam 비추천 맥락은 18개 게임, Steam 추천 맥락은 22개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '중'이며, 적용된 기준은 '기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리'이다. LLM이 High urgency로 분류한 사례는 9개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
genre,Action,가격/가치,강화 요소,68,28,41.2,23,15,17,16,2,12,10,90,중,중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정,"반복성 또는 Steam 비추천 맥락이 확인되어 출시 전 체크리스트에 포함할 필요가 있는 점검 항목으로 분류함. 절대 기준 후보는 '상'였음. 최종 보정: 절대 기준상 '상' 후보였으나, 최종 '상' 개수 제한 기준에 따라 '중'으로 조정. 적용 규칙: 중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정. High urgency 후보는 12개 게임에서 확인되었지만, 우선순위 계산에는 직접 사용하지 않고 보조 참고 지표로만 남김.","genre 조건 'Action'에서 '가격/가치' 항목은 전체 68개 게임 중 28개 게임에서 반복되었다(41.2%). Steam 비추천 맥락은 15개 게임, Steam 추천 맥락은 23개 게임에서 확인되었다. 규칙 기반 점검 중요도는 '중'이며, 적용된 기준은 '중: 절대 기준 상 후보였으나 최종 상위 이슈 제한 기준에 따라 중으로 조정'이다. LLM이 High urgency로 분류한 사례는 12개 게임에서 나타났지만, 이는 점검 중요도 계산에 직접 사용하지 않은 보조 참고 지표다."
