recommendationid,appid,game_name,steam_label_text,llm_sentiment,llm_primary_issue,llm_urgency_candidate,release_period,playtime_at_review_hours,votes_up,weighted_vote_score,llm_issue_category,issue_name_kor,llm_issue_sentiment,llm_issue_evidence,source_run
162551168,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.4333333333333333,7,0.5586898922920227,positive_praise,긍정 칭찬,positive,"Art Style, Music, Atmosphere, 21:9 support are great.",children_of_the_sun
162551849,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.5333333333333333,3,0.4766794741153717,positive_praise,긍정 칭찬,positive,Great game.,children_of_the_sun
162552645,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.2,28,0.7350374460220337,positive_praise,긍정 칭찬,positive,"Short but sweet puzzle shooter, fun gameplay loop.",children_of_the_sun
162552871,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.4166666666666667,77,0.7562122344970703,positive_praise,긍정 칭찬,positive,"Amazing art style, simple but satisfying gameplay. Fairly priced.",children_of_the_sun
162556466,1309950,Children of the Sun,positive,positive,control,medium,D0-D30,1.7666666666666666,4,0.5832236409187317,control,조작감,negative,"controls to some extent. missed the ""SINGLE RIGHT CLICK"" prompted in RED",children_of_the_sun
162557723,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.5,7,0.543179988861084,positive_praise,긍정 칭찬,positive,If Ape Out and Sniper Elite had a baby that was a distant cousin with the Gorrilaz.,children_of_the_sun
162562122,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.6,0,0.5,positive_praise,긍정 칭찬,positive,"Good short game, story told with pictures and audio is fun",children_of_the_sun
162562642,1309950,Children of the Sun,positive,mixed,bug,high,D0-D30,0.2,0,0.5,bug,버그,negative,freezing for me on steam deck when loading levels,children_of_the_sun
162564482,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.283333333333333,13,0.6587597131729126,positive_praise,긍정 칭찬,positive,"wholly unique puzzle shooter that looks, sounds, feels and plays awesome",children_of_the_sun
162564863,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.05,0,0.5,positive_praise,긍정 칭찬,positive,퍼즐과 슈팅 요소가 결합된 도파민을 자극하는 게임 플레이가 매우 훌륭함,children_of_the_sun
162564863,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.05,0,0.5,gameplay_loop,게임플레이 루프,positive,스스로 알아가는 과정이 즐거운 퍼즐 게임 구조,children_of_the_sun
162568184,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.533333333333333,1,0.5151515007019043,positive_praise,긍정 칭찬,positive,스토리와 게임 메커니즘이 준수함,children_of_the_sun
162568184,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.533333333333333,1,0.5151515007019043,gameplay_loop,게임플레이 루프,positive,Sniper Elite와 유사한 게임 플레이 방식,children_of_the_sun
162569651,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.85,0,0.5,positive_praise,긍정 칭찬,positive,"중독성 있는 게임 플레이와 적절한 난이도, 만족스러운 분량",children_of_the_sun
162569651,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.85,0,0.5,content_volume,콘텐츠 분량,positive,게임이 짧지만 완벽한 분량이라고 느낌,children_of_the_sun
162570423,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.716666666666667,0,0.5,positive_praise,긍정 칭찬,positive,독특한 시각적 연출에 대한 긍정적 언급,children_of_the_sun
162571032,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.1833333333333331,0,0.4466019570827484,positive_praise,긍정 칭찬,positive,스나이퍼 퍼즐 게임으로서의 재미와 음악에 대한 긍정적 평가,children_of_the_sun
162571039,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.783333333333333,0,0.5,positive_praise,긍정 칭찬,positive,리더보드 경쟁 요소에 대한 높은 만족도와 게임의 짧지만 알찬 구성 언급,children_of_the_sun
162574264,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.566666666666667,3,0.5663328766822815,positive_praise,긍정 칭찬,positive,게임플레이가 매우 재미있고 스나이핑 게임의 요소를 잘 발전시킴,children_of_the_sun
162574264,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.566666666666667,3,0.5663328766822815,content_volume,콘텐츠 분량,positive,"게임이 짧지만 지루해지기 전에 끝나서 좋음, 더 어려운 챌린지 레벨 DLC 희망",children_of_the_sun
162574264,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.566666666666667,3,0.5663328766822815,story,스토리,positive,스토리와 컷신이 다소 과장되고 독특한 매력이 있음,children_of_the_sun
162574427,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.9666666666666663,0,0.5,positive_praise,긍정 칭찬,positive,핵심 메커니즘 활용이 훌륭하고 적절한 분량임,children_of_the_sun
162574427,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.9666666666666663,0,0.5,price_value,가격/가치,positive,정가 지불할 가치가 있음,children_of_the_sun
162575803,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.683333333333333,0,0.5,positive_praise,긍정 칭찬,positive,게임이 재미있고 아트워크가 훌륭함,children_of_the_sun
162575803,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.683333333333333,0,0.5,content_volume,콘텐츠 분량,mixed,게임이 짧은 것이 아쉬움,children_of_the_sun
162576126,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.083333333333333,1,0.4823731780052185,positive_praise,긍정 칭찬,positive,"Cool art style, very satisfying gameplay, and incredible sound design",children_of_the_sun
162576126,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.083333333333333,1,0.4823731780052185,content_volume,콘텐츠 분량,neutral,Short and sweet! hope there's a DLC soon,children_of_the_sun
162580503,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.5,1,0.5,positive_praise,긍정 칭찬,positive,"presentation is first-class, and the moment to moment gameplay is entirely engrossing",children_of_the_sun
