appid,game_name,genres_text,price_group,top_steam_tags_text,categories_text,play_style,review_count,llm_positive_count,llm_negative_count,llm_mixed_count,high_urgency_count,llm_positive_ratio,llm_negative_ratio,high_urgency_ratio
571740,Golf It!,"Casual, Indie, Simulation, Sports",0-5,"Multiplayer, Mini Golf, Golf, Casual, Sports, Funny, Online Co-Op, Singleplayer, Simulation, Level Editor","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",멀티/협동 요소 포함,48,27,15,4,9,56.2,31.2,18.8
588440,False Front,"Action, Casual, Indie, Sports",5-10,"FPS, First-Person, Multiplayer, Indie, Action, Team-Based, Casual, PvP, Zombies, Shooter","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,1,1,0,0,0,100.0,0.0,0.0
603320,Age of Defense,"Indie, Strategy",10-20,"Tower Defense, Strategy, Singleplayer, 2D, Fantasy, Casual, Action, Adventure, Funny, Cartoon","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,13,5,5,3,4,38.5,38.5,30.8
619820,Heroes of Hammerwatch II,"Action, Indie, RPG",10-20,"RPG, Action RPG, Action Roguelike, Action, Rogue-like, Dungeon Crawler, Adventure, Rogue-lite, Procedural Generation, Hack and Slash","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",멀티/협동 요소 포함,100,20,66,14,37,20.0,66.0,37.0
638990,"UNDYING - ""KINGDOM""","Adventure, Indie",10-20,"Story Rich, Multiple Endings, Action RPG, Survival, Adventure, Zombies, Female Protagonist, Post-apocalyptic, Crafting, Top-Down","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,30,19,4,7,3,63.3,13.3,10.0
695330,SEASON: A letter to the future,"Adventure, Casual, Indie",10-20,"Open World, Mystery, Visual Novel, Narrative, Female Protagonist, Emotional, Interactive Fiction, Exploration, Atmospheric, Drama","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,100,81,5,14,5,81.0,5.0,5.0
824600,HROT,"Action, Indie",10-20,"Retro, FPS, Shooter, Boomer Shooter, Indie, First-Person, Action, Singleplayer, Old School, Gore","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing",Single-player 중심,100,68,10,19,5,68.0,10.0,5.0
957960,Inkulinati,"Indie, Strategy",20-40,"Medieval, Turn-Based Strategy, Turn-Based Tactics, Rogue-lite, Turn-Based, Funny, Deckbuilding, Dark Humor, Hand-drawn, 2D","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Remote Play Together, Family Sharing",멀티/협동 요소 포함,20,15,3,2,2,75.0,15.0,10.0
1076720,Unleaving,"Adventure, Indie",10-20,"Hand-drawn, Surreal, Dark, Atmospheric, Story Rich, Indie, Philosophical, Physics, 2D Platformer, Puzzle","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,15,13,1,1,1,86.7,6.7,6.7
1175660,DepowerBall,"Casual, Indie, Sports",10-20,"Multiplayer, Sports, Funny, Local Multiplayer, Platformer, Party, Fast-Paced, Family Friendly, 2D, Cute","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing",멀티/협동 요소 포함,9,9,0,0,0,100.0,0.0,0.0
1179580,KAKU: Ancient Seal,"Action, Adventure, Indie, RPG",20-40,"Open World, Action RPG, Action-Adventure, Cartoon, RPG, Action, Combat, Adventure, Dungeon Crawler, Exploration","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Steam Cloud, Family Sharing",Single-player 중심,20,8,3,9,4,40.0,15.0,20.0
1189490,觅长生,"Indie, RPG, Strategy",10-20,"RPG, Open World, Martial Arts, Drama, Strategy, Turn-Based Combat, Indie, Fantasy, Story Rich, Singleplayer","Single-player, Steam Achievements, Steam Workshop, Steam Workshop, Steam Cloud, Family Sharing",Single-player 중심,6,4,0,2,0,66.7,0.0,0.0
